column,run,charge_ave,charge_ave_err,IPM2C21A_corr3,IPM2C24A_corr3,IPM2H01_corr3
373,18750,0.512973932,0.001555909,0.51512064,0.512318922,0.511482233
374,18751,0.400380502,0.001010345,0.40180443,0.399565996,0.399771079
375,18752,0.872330451,0.002547996,0.875933581,0.870567809,0.870489962
376,18753,0.866955182,0.002490521,0.87047723,0.865214819,0.865173496
377,18754,0.864326771,0.002450556,0.867792366,0.862585572,0.862602373
378,18755,0.458816089,0.001349461,0.460724314,0.457837991,0.457885962
379,18756,0.305314544,0.000759188,0.306386952,0.30473356,0.304823121
380,18758,0.308238744,0.00058518,0.3090362,0.307648437,0.308031595
381,18760,0.307641907,0.000565733,0.30841185,0.307068599,0.307445272
382,18761,0.141273018,0.000229373,0.14156351,0.141002757,0.141252786
383,18762,0.262791658,0.000437254,0.263368134,0.262309658,0.262697182
384,18764,0.282269415,0.000219999,0.282573744,0.282061237,0.282173264
385,18765,0.055336435,0.000121432,0.055449464,0.055167953,0.05539189
386,18766,0.145719576,0.000351215,0.145986652,0.145223366,0.145948711
387,18767,0.282985363,0.000355272,0.283302681,0.282489348,0.283164059
388,18768,0.284213858,0.000505637,0.284660265,0.283506875,0.284474433
389,18769,0.287869904,0.000664875,0.288431093,0.286935943,0.288242676
